Frequency,Channel A,Channel B
(MHz),(dBu),(dBu)

0.08201599,-59.10958000,-77.14550000
0.08249283,-61.12017000,-89.56463000
0.08296967,-54.59848000,-77.09200000
0.08344650,-56.61434000,-75.35500000
0.08392334,-60.04089000,-78.98019000
0.08440018,-60.48378000,-81.80423000
0.08487701,-55.94028000,-76.09022000
0.08535385,-63.91247000,-82.78162000
0.08583069,-58.84788000,-78.32360000
0.08630753,-63.33937000,-77.99648000
0.08678436,-58.41516000,-77.74239000
0.08726120,-59.38210000,-92.97444000
0.08773804,-70.83099000,-80.83350000
0.08821487,-61.95662000,-79.09515000
0.08869171,-55.43724000,-78.69149000
0.08916855,-57.07195000,-78.41798000
0.08964539,-69.39284000,-73.46680000
0.09012222,-57.37473000,-78.89316000
0.09059906,-60.39909000,-82.97505000
0.09107590,-63.72570000,-79.55857000
0.09155273,-57.08469000,-79.74442000
0.09202957,-57.42711000,-80.94040000
0.09250641,-71.60440000,-73.59958000
0.09298325,-58.05475000,-72.07726000
0.09346008,-60.67012000,-77.56287000
0.09393692,-64.76151000,-82.48444000
0.09441376,-56.32635000,-76.64182000
0.09489059,-59.52930000,-76.56156000
0.09536743,-65.58104000,-74.98435000
0.09584427,-58.46859000,-76.31128000
0.09632111,-59.76848000,-78.44893000
0.09679794,-59.97805000,-78.49686000
0.09727478,-63.96474000,-92.08383000
0.09775162,-71.07516000,-79.31164000
0.09822845,-61.39720000,-76.25245000
0.09870529,-60.09025000,-78.26705000
0.09918213,-62.64929000,-81.10358000
0.09965897,-59.65120000,-75.77944000
0.10013580,-60.46409000,-83.16841000
0.10061264,-68.59339000,-76.55013000
0.10108948,-59.25349000,-75.03767000
0.10156631,-61.52832000,-80.69335000
0.10204315,-65.87572000,-78.07030000
0.10251999,-61.10188000,-80.27482000
0.10299683,-59.63476000,-77.78827000
0.10347366,-66.39795000,-76.38555000
0.10395050,-59.79881000,-76.38396000
0.10442734,-66.90144000,-81.09100000
0.10490417,-58.49110000,-83.96381000
0.10538101,-63.51434000,-74.93082000
0.10585785,-64.91808000,-85.43864000
0.10633469,-63.46391000,-75.41991000
0.10681152,-63.69178000,-77.68706000
0.10728836,-60.47719000,-75.79809000
0.10776520,-74.05550000,-90.57102000
0.10824203,-59.69037000,-74.35194000
0.10871887,-63.50608000,-74.39944000
0.10919571,-60.06325000,-79.65347000
0.10967255,-62.90860000,-76.39201000
0.11014938,-76.24162000,-76.10249000
0.11062622,-61.43179000,-81.63681000
0.11110306,-58.12166000,-78.82775000
0.11157990,-70.15254000,-82.26587000
0.11205673,-60.14569000,-84.57286000
0.11253357,-65.85361000,-76.77483000
0.11301041,-61.51318000,-75.57216000
0.11348724,-63.68572000,-87.43684000
0.11396408,-60.55205000,-75.08544000
0.11444092,-62.44944000,-74.19832000
0.11491776,-70.67825000,-84.14775000
0.11539459,-62.23602000,-75.58945000
0.11587143,-59.86328000,-73.31209000
0.11634827,-80.82271000,-83.07033000
0.11682510,-59.22052000,-77.12254000
0.11730194,-61.57951000,-79.21868000
0.11777878,-67.84499000,-81.70462000
0.11825562,-68.06693000,-76.70304000
0.11873245,-58.67524000,-74.73695000
0.11920929,-58.71907000,-81.03719000
0.11968613,-62.11866000,-76.57317000
0.12016296,-74.97437000,-88.01704000
0.12063980,-68.23524000,-75.30180000
0.12111664,-67.86355000,-78.77868000
0.12159348,-70.85481000,-81.64601000
0.12207031,-59.59362000,-76.06467000
0.12254715,-59.55074000,-80.15084000
0.12302399,-60.44693000,-78.05511000
0.12350082,-79.14103000,-74.26743000
0.12397766,-60.71495000,-75.23700000
0.12445450,-60.63906000,-88.77036000
0.12493134,-65.94869000,-74.59415000
0.12540817,-74.23936000,-73.25810000
0.12588501,-63.88022000,-89.78235000
0.12636185,-63.20893000,-75.28462000
0.12683868,-65.07213000,-86.13277000
0.12731552,-65.67836000,-74.84202000
0.12779236,-62.52049000,-79.02727000
0.12826920,-67.88345000,-77.48796000
0.12874603,-63.44448000,-73.09629000
0.12922287,-70.37438000,-76.71707000
0.12969971,-66.78791000,-86.46797000
0.13017654,-63.82652000,-73.77219000
0.13065338,-69.79362000,-72.06948000
0.13113022,-65.58571000,-80.45244000
0.13160706,-62.15155000,-72.00565000
0.13208389,-62.77792000,-85.62010000
0.13256073,-63.13060000,-74.88628000
0.13303757,-69.42407000,-72.87827000
0.13351440,-69.07125000,-78.53854000
0.13399124,-74.47147000,-75.86447000
0.13446808,-68.61438000,-72.95687000
0.13494492,-63.51916000,-78.71667000
0.13542175,-70.25906000,-73.91536000
0.13589859,-64.33352000,-74.84608000
