Frequency,Channel A,Channel B
(MHz),(dBu),(dBu)

0.08201599,-65.62888000,-74.89528000
0.08249283,-58.11243000,-75.36128000
0.08296967,-58.19643000,-73.44824000
0.08344650,-60.73073000,-80.07954000
0.08392334,-61.91163000,-77.78500000
0.08440018,-57.16339000,-71.94465000
0.08487701,-55.29720000,-72.82988000
0.08535385,-56.09912000,-80.68948000
0.08583069,-60.28117000,-82.46394000
0.08630753,-66.72105000,-86.25075000
0.08678436,-58.67234000,-78.33866000
0.08726120,-56.73799000,-75.73289000
0.08773804,-61.83850000,-78.64912000
0.08821487,-63.87914000,-89.16688000
0.08869171,-55.81110000,-73.90511000
0.08916855,-57.21983000,-73.12296000
0.08964539,-72.72720000,-79.76350000
0.09012222,-57.54482000,-78.94353000
0.09059906,-59.26796000,-79.03201000
0.09107590,-57.83586000,-88.34181000
0.09155273,-62.56813000,-74.96424000
0.09202957,-59.84327000,-77.31515000
0.09250641,-61.67984000,-85.68129000
0.09298325,-62.26815000,-76.03217000
0.09346008,-58.90287000,-80.43047000
0.09393692,-56.48981000,-80.64595000
0.09441376,-59.69589000,-75.43507000
0.09489059,-65.08037000,-81.96265000
0.09536743,-62.27719000,-74.17843000
0.09584427,-65.50576000,-77.05328000
0.09632111,-59.05089000,-80.44481000
0.09679794,-67.01881000,-73.53036000
0.09727478,-61.40944000,-87.61605000
0.09775162,-62.05067000,-75.86692000
0.09822845,-60.31469000,-76.12206000
0.09870529,-60.45679000,-81.81659000
0.09918213,-63.46351000,-77.80733000
0.09965897,-63.31680000,-74.39027000
0.10013580,-60.55065000,-93.98499000
0.10061264,-58.70238000,-85.54405000
0.10108948,-69.55140000,-78.28894000
0.10156631,-60.13807000,-79.42035000
0.10204315,-61.22333000,-79.50990000
0.10251999,-61.76604000,-86.51433000
0.10299683,-56.92334000,-77.55724000
0.10347366,-60.15125000,-72.56134000
0.10395050,-67.66261000,-78.52718000
0.10442734,-60.94990000,-81.89580000
0.10490417,-70.00980000,-80.20795000
0.10538101,-64.56120000,-79.13944000
0.10585785,-58.29113000,-78.86156000
0.10633469,-59.56281000,-74.03051000
0.10681152,-66.72675000,-74.97695000
0.10728836,-66.13082000,-88.37437000
0.10776520,-68.68155000,-75.03388000
0.10824203,-62.16612000,-79.95189000
0.10871887,-67.72221000,-79.85612000
0.10919571,-59.67233000,-85.41168000
0.10967255,-63.38147000,-76.99347000
0.11014938,-61.58168000,-74.90625000
0.11062622,-59.78004000,-83.38992000
0.11110306,-63.31617000,-80.58958000
0.11157990,-60.24755000,-82.43697000
0.11205673,-69.36334000,-78.95506000
0.11253357,-61.79509000,-80.63132000
0.11301041,-62.20546000,-77.30728000
0.11348724,-64.37169000,-78.36475000
0.11396408,-60.50731000,-79.19231000
0.11444092,-64.41354000,-83.63507000
0.11491776,-66.84506000,-79.70643000
0.11539459,-60.52709000,-85.13521000
0.11587143,-59.03422000,-75.42366000
0.11634827,-72.24418000,-73.03776000
0.11682510,-65.92948000,-83.16304000
0.11730194,-69.17528000,-75.56879000
0.11777878,-63.82072000,-76.92220000
0.11825562,-61.59473000,-83.94405000
0.11873245,-62.04527000,-79.16614000
0.11920929,-74.18509000,-77.28947000
0.11968613,-60.38053000,-79.21194000
0.12016296,-67.73702000,-76.09043000
0.12063980,-65.91607000,-78.88963000
0.12111664,-63.86502000,-75.34726000
0.12159348,-64.33495000,-78.18765000
0.12207031,-63.86209000,-92.31664000
0.12254715,-70.46476000,-75.68744000
0.12302399,-64.51016000,-80.54831000
0.12350082,-60.17979000,-73.88305000
0.12397766,-66.40351000,-75.62296000
0.12445450,-65.04151000,-77.83159000
0.12493134,-59.53369000,-78.65987000
0.12540817,-64.14272000,-76.48414000
0.12588501,-66.39789000,-76.53972000
0.12636185,-66.37041000,-82.37499000
0.12683868,-64.23626000,-74.08032000
0.12731552,-64.62371000,-81.58456000
0.12779236,-62.46744000,-76.90907000
0.12826920,-69.25482000,-72.68069000
0.12874603,-60.70400000,-73.67979000
0.12922287,-60.74241000,-97.35481000
0.12969971,-67.85793000,-76.29465000
0.13017654,-65.51783000,-76.75259000
0.13065338,-64.53812000,-75.49023000
0.13113022,-65.80885000,-79.91153000
0.13160706,-67.84377000,-75.90862000
0.13208389,-63.26607000,-77.61858000
0.13256073,-80.24873000,-78.21170000
0.13303757,-64.78610000,-77.07816000
0.13351440,-66.67201000,-72.29298000
0.13399124,-67.67435000,-74.06797000
0.13446808,-73.76640000,-76.05405000
0.13494492,-59.89287000,-74.36461000
0.13542175,-59.80795000,-76.70051000
0.13589859,-69.33095000,-76.62112000
